X,Y,amenity,name,name:en,addr:postcode,addr:street,outdoor_seating,opening_hours,smoking,addr:city,operator,addr:country,addr:city:en,addr:housenumber,addr:street:en,addr:housename,cuisine,website,wheelchair,int_name,internet_access,name:mk,takeaway,cocktails,food,internet_access:fee,layer,leisure,microbrewery,name:de,payment:coins,payment:mastercard,payment:notes,payment:visa,phone,sport,wifi
21.3813769,42.0057641,pub,Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4440848,41.9754573,bar,Игротека Смајли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4106644,42.0053295,bar,Tesla Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4711307,41.9830723,bar,Coffeelix,,1000,Булевар Јане Сандански,,Mo-Su 09:00-00:00,,,,,,,,,coffee_shop,,,,,,,,,,,,,,,,,,,,
21.4762981,41.9815558,bar,Игротека Чекорче,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3602983,42.0110921,bar,КАМИН КАМА,Kamin Kama,1000,Лука Геров,,Mo-Su 10:00-00:00,,Скопје,,,,,,,,,,,,КАМИН КАМА,,,,,,,,,,,,,,,
21.3688665,42.0078535,bar,Hazard Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cue,
21.4320378,41.9957057,pub,Колектив,Kolektiv,,,yes,,outside,,Колектив,,,,,,,,,,,,,,,,,,yes,,,,,,,,
21.4320988,41.9956625,pub,,Pivnika Temov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4340509,41.9955386,bar,Етно-бар,Etno Bar,1000,Кеј 13 Ноември,yes,,outside,Cкoпje,Etno Bar,MK,Skopje,,Kay 13th November,Gradski Trgovski Centar Skopje,,,,,,,,,,,,,,,,,,,,,
21.4342829,41.9954679,pub,Даблинер,,1000,Кеј 13 Ноември,no,,no,Скопје,The Dubliner,MK,Skopje,,Kay 13th November,Gradski Trgovski Centar Skopje,,,,The Dubliner,,,no,,,,,,,,,,,,,,
21.4341686,41.9955027,pub,Ало ало,,1000,Кеј 13 Ноември,no,,no,Скопје,Cafe Alo Alo,MK,Skopje,,Kay 13th November,Gradski Trgovski Centar Skopje,,,,Cafe Alo Alo,,,no,,,,,,,,,,,,,,
21.4345059,41.9951019,bar,,,,,,,,,,MK,,,,,,,,,,,,,,,,,,,,,,,,,
21.4352156,41.9951834,pub,Карпе дием,Carpe Diem,1000,Кеј 13 Ноември,yes,,separated,Cкoпje,,MK,Skopje,,Kay 13th November,Gradski Trgovski Centar Skopje,,,,Carpe Diem,,,,,,,,,,,,,,,,,
"21.4355937,41.9950681,pub,Ирски паб Св. Патрик,St. Patrick Irish Pub,1000,Кеј 13 Ноември,yes,""10:00-24:00, Fr-Sa 10:00-01:00"",separated,Cкoпje,,MK,Skopje,,Kay 13th November,Gradski Trgovski Centar (GTC),,http://www.irishpub.com.mk/,yes,,wlan,,,,,,,,,,yes,yes,yes,yes,,,free"
21.4383755,41.9945181,bar,,Old lady beer bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21.4343506,41.9954474,pub,Casa Cubana,,1000,Кеј 13 Ноември,yes,""10:00-24:00, Fr-Sa 10:00-01:00"",outside,Скопје,Casa Cubana,MK,Skopje,28,Kay 13th November,Gradski Trgovski Centar Skopje,,,yes,,wlan,,no,,,no,,,,,,,,,,,"
21.4343571,41.9973371,pub,Lounge Bar Divan,,,,yes,,separated,,Hotel Stone Bridge,,,,,,pizza,,,,,,,yes,yes,,,,,,,,,,,,
21.4349757,41.9974686,pub,Lounge Bar Divan,,,,yes,,separated,,Hotel Stone Bridge,,,,,,pizza,,,,,,,yes,yes,,,,,,,,,,,,
21.4358564,41.9993401,bar,Менада,Menada,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
21.4353545,41.9999118,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4363148,41.9996587,bar,tavce gravce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4358296,41.9998288,bar,Rakija Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4367578,41.9999897,bar,beer cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4358622,42.0001818,pub,,Winery Temov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4360203,42.0001822,pub,,Damar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4369808,42.0001669,bar,Клуб Капан Ан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4378235,42.001291,bar,Syri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4158549,41.9931627,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4204573,41.9989335,pub,Браво,Bravo,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4211669,42.0004422,bar,# hash bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4175412,42.0011509,pub,Кафе Кино Карпош,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4216722,42.0021654,bar,Kaldrma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4217791,42.0022762,bar,Van Gogh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.423451,42.0002331,bar,Radio bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4235498,42.00231,bar,Speakeasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4614608,42.002646,bar,Ле Петит,Le Petit,1000,,,Mo-Su 08:00-01:00,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,
21.4542682,41.9901685,bar,Игротека Тиквичка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4661079,41.9937893,bar,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21.4138028,41.9947703,bar,нола Бар,Nola Bar,1000,Митрополит Теодосиј Гологанов,yes,""Mo-Fr 09:00-24:00"
"21.4147832,41.9964357,pub,Дринкерс Парадајз,Drinkers Paradise,,Христо Смирненски,,""Mo-Su 00:00-01:00,10:00-24:00"",outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21.4150033,41.997012,pub,Конак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4295835,41.9932203,bar,GastrotecaSiesta,,,,yes,10:00-0:00,,,GastrotecaSiesta,,,,,,,https://www.facebook.com/GastrotecaSiesta/,,,,,,,,,,,,,,,,,,,
21.4290413,41.9947622,bar,Centar Bar,,1000,,,Mo-Su 09:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.426176,41.9955629,pub,Piazza Liberta,,,,yes,,,,,,,,,,,http://piazzaliberta.mk/,,,,Пјаца Либерта,,,,,,,,,,,,,,,
21.4268984,41.9964359,bar,Mr. Jack,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4284187,41.9971537,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQUEEZE ME,,,,,,,
21.4302534,41.9957302,pub,London Pub,,1000,Никола Вапцаров,,,,Скопје,Македонијатурист,,,2/4,,,,,,,,Паб „Лондон“,,,,,,,,,,,,,,,
"21.4295352,41.9975241,bar,,,,,,""Mo-Fr 08:00-01:00"
21.4304538,41.9981594,bar,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor_seating,,,,,,,,,
21.3986571,42.0032279,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4061819,42.0062605,bar,Minus Eden,,,,,Tu-Sa 00:00-04:00,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,
"21.4239699,41.9981195,pub,Паб Порта,Pub Porta,1000,Булевар Партизански Одреди,yes,""Mo-Th 09:00-00:00, Fr-Sa 09:00-01:00"",isolated,Cкoпje,,,,21/A2-1,,,,,,,,,,,,,,,,,,,,,,,"
21.4268797,42.0007066,bar,Thirio,,,Булевар Илинден,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,
21.4264446,42.0068068,bar,Bar Reka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4273688,42.0062927,bar,Брик бар,BRICK Bar,1000,ул.1732,,Mon - Sun: 09:00 - 01:00,,Cкoпje,,,,бр.4,,,,,,,,,,,,,,,,,,,,,,,
21.4216262,41.9951391,bar,,Brown Sugar Café & Bar,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,
21.4188403,41.9965743,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.441755,41.9932121,bar,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
21.441738,41.99462,bar,samocod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.446918,41.991008,bar,Club Colloseum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
