X,Y,name,shop,addr:postcode,addr:street,name:en,opening_hours,addr:housenumber,email,phone,website,name:mk,internet_access,addr:city,operator,level,name:sq,addr:city:en,addr:country,addr:street:en,description,fax,int_name,name:tr,payment:maestro,payment:mastercard,payment:visa,repair,wheelchair
21.4117962,42.0052574,Digit Company,computer,1000,Орце Николов,,,174a,,,,,,Skopje,,,,,,,,,,,,,,,
21.4726882,41.982543,WinixMk,electronics,1000,Булевар Видое Смилевски Бато,Winix,Mo-Fr 09:00-17:00,3,info.winix@gmail.com,+389 72 21 31 51,http://www.winixmk.mk,,,Cкoпje,,,,,,,"Прочистувачи на воздух Winix Го прочистуваат воздухот во вашиот дом од ПМ честички поголеми од 0,3 микрометри, Полен, редуцира хемикалии, бактерии и вируси. Базирани на хепа филтер, активен јаглен и плазма (позитивни и негативни јони)",,,,,,,,
21.4728591,41.9822693,T-Mobile,mobile_phone,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4427788,42.0047024,СААФ КОМПЈУТЕРИ,computer,1000,Чаирска,SAAF COMPUTERS,Mo-Su 09:00-18:00,,saafcomputers@gmail.com,0038976361700,,СААФ КОМПЈУТЕРИ,wlan,,,,,,,,,,,,,,,,
21.4438025,42.0083341,ледиком,mobile_phone,1000,Булевар Цветан Димов,ledikom,Mo-Su 08:00-23:30,,info@ledikom.mk,0038970542542,https://www.ledikom.mk/,,wlan,,Altin Zymeri,,ledikom,,,,,,,ledikom,,,,,
21.437691,42.0065733,Trend light,electronics,1000,Булевар Никола Карев,,Mo-Su 08:30-19:00,70,trendlight04@gmail.com,+38970444599,,Тренд Лајт,,,,,Trend light,,,,,,,,,,,,
21.4153049,41.9931281,Pioneer Skopje 02/3110 186,electronics,1000,,Pioneer Skopje,,,,,,Pioneer Skopje,,,,,,,,,,,,,,,,,
21.4159132,41.9932165,ZEC Elektroniks Kapistec,electronics,1000,Васил Ѓоргов,ZEC Electronics Kapistech,Mo-Fr 09:00-20:00,33,info@zecelectronics.com,38923110186,http://www.zec.mk,ZEC Elektroniks Kapistec,wlan,,,,,,,,,,,,,,,,
21.4159528,41.9932063,Зец Електроникс,hifi,,,Zec Electronics,,,,,,,,,,,,,,,,,,,,,,,
21.4499971,41.9834317,Hi Store,mobile_phone,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4497643,41.9847142,DDStore,computer,1000,Фрањо Клуз,,Mo-Fr 09:00-17:00,2/1-4,,,https://ddstore.mk/,,,Cкoпje,,,,,,,,,,,,,,,
21.4608057,41.9890975,Канон Сенчо,computer,1000,,Canon Senco,Mo-Fr 08:00-16:00,,,,,Канон Сенчо,,,,,,,,,,,,,,,,,
21.4655471,41.9850942,Anhoch,computer,,,,,,,,,,,,,,,,,,,,,,,,,,
21.392665,41.9993994,Баг Компјутери,computer,1000,Прашка,Bug Computers,Mo-Sa 09:00-17:30,88a,sales@bug.com.mk,023092674,http://www.bug.com.mk,,,,,,,,,,,,,,,,,,
21.391221,42.0046961,Ај Стаил,electronics,1000,Љубљанска,iSTYLE,Mo-Su 10:00-22:00,4,info@istyle.mk,+38972226637,https://www.istyle.mk/,,wlan,,,,,,,,,,,,,,,,
21.3921793,42.0044652,Anhoch,computer,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3923224,42.0047189,Нептун Карпош,electronics,1000,Љубљанска,,Mo-Su 10:00-22:00,4,karpos@neptun.mk,+389 2 3080 098,https://www.neptun.mk,,,Cкoпje,,1,,Skopje,MK,Ljubljanska,,+389 2 3080 098,,,yes,yes,yes,,yes
21.4119819,41.9969509,Сетек Компјутери,computer,,,Setec Computers,,,,,http://www.setec.mk,Сетек Компјутери,,,,,,,,,,,,,,,,,
21.4151095,42.0040957,Биротехника,electronics,,Орце Николов,Birotehnika,,155,,,,,,,,,,,,,,,Birotehnika,,,,,yes,
21.4269193,41.9920798,Anhoch,computer,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4338471,41.9945784,Anhoch PC Market,computer,,,,,,,,,,,,,0,,,,,,,,,,,,,
21.4354978,41.9949008,ZEC Electronics GTC,hifi,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4419882,41.9931131,Anhoch,computer,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4204422,41.9988802,Anhoch,computer,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4014995,41.9948911,МОБИКЛИНИК ПЛУС,mobile_phone,1000,Миле Поп Јорданов,MOBIKLINIK PLUS SERVICE CELL PHONE AND PC,24/7,37A,mobiklinikplus@gmail.com,0038976677277,https://www.apple.com/,МОБИКЛИНИК ПЛУС СЕРВИС МОБИЛНИ И ПЦ,wlan,,Zoran Tofevski,,,,,,,,,,,,,,
21.4018538,41.9948659,МОБИКЛИНИК ПЛУС СЕРВИС ЗА МОБИЛНИ И КОМПЈУТЕРИ,mobile_phone,1000,Миле Поп Јорданов,MOBIKLINIK PLUS SERVICE MOBILE PHONES AND PC,24/7,37A,mobiklinikplus@gmail.com,0038976677277,https://www.apple.com/,,wlan,,Zoran Tofevski,,,,,,,,,,,,,,
21.4090578,41.9978634,Advance Media,electronics,,,,,,,,,,,,,,,,,,,,,,,,,,
