X,Y,shop,name,addr:street,name:en,addr:postcode,opening_hours,website,addr:housenumber,addr:city,name:mk,operator,phone,wheelchair,addr:street:en,level,addr:city:en,addr:country,addr:housename,designation,internet_access,payment:cash,payment:credit_cards
21.4533122,41.974857,supermarket,Супер Тинекс,,Super Tinex,,,,,,,,,,,,,,,,,,
21.4722684,41.9720378,supermarket,ЗУР Маркет,,,,,,,,,,,,,,,,,,,,
21.4835448,41.9772072,supermarket,Јовче,,,,,,,,,,,,,,,,,,,,
21.4851324,41.9781331,supermarket,Бина,,,,,,,,,,,,,,,,,,,,
21.4447803,41.9761657,supermarket,Гранап,,Granap,1000,Mo-Su 08:00-22:00,,,,Гранап,,,,,,,,,,,,
21.411176,41.9903083,supermarket,Tinex,,,,,,,,,,,,,,,,,,,,
21.4119116,41.9967281,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4137932,41.9944797,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4149954,41.9984569,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4129384,41.9994288,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4126908,42.0004371,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4154047,42.003633,supermarket,Рептил маркет,,Reptil Market,1000,07:00 - 21:30,,,Cкoпje,,,,,,,,,,,,,
21.3941797,41.9953658,kiosk,,,,,,,,,,,,,,,,,,,,,
"21.3914204,42.0017143,supermarket,Кам маркет Тафталиџе,Лондонска,Kam Market Taftalidze,1000,""Mo-Sa 07:30-21:30"
21.3831193,42.0050579,supermarket,Фреш маркет Бојди,Булевар Партизански Одреди,,1000,,,,Скопје,,,,,,,,,,,,,
21.3832243,42.0050437,department_store,PAMS Shoe Store 2,,,,,http://www.pams.mk/,,,,,,,,,,,,Shoe store,,,
21.3818169,42.0067318,supermarket,Tinex,,,,,,,,,,,,,,,,,,,,
21.3829246,42.006382,supermarket,,,,,,,,,,Tinex,,,,,,,,,,,
21.3842555,42.0079128,supermarket,Гранап,,Granap,,,https://www.facebook.com/GranapMarket/,,,,,,,,,,,,,,,
21.3922837,42.0048803,supermarket,Ramstore,Љубљанска,,1000,08:00-22:00,http://ramstore.com.mk,,Skopje,,,,,Ljubljanska,0,,,Skopje City Mall,,,,
21.393054,42.0065872,supermarket,Vero,Манапо,,,,,,,,,,,,,,,,,,,
21.4121462,42.0005257,supermarket,Рептил,,Reptil,,,,,,Рептил,,,,,,,,,,,,
21.4111987,42.0056203,supermarket,Granap Market,,,,,,,,,,,,,,,,,,,,
21.3340183,42.0078991,supermarket,Kipper,Борис Сарафов,,,,,,,,,,,,,,,,,,,
21.3349543,42.0080177,supermarket,,Борис Сарафов,,,,,,,,,,,,,,,,,,,
21.3396463,42.0076504,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4757273,41.9984456,supermarket,Stokomak Magacin,,,,,,,,Stokomak Magacin,,,,,,,,,,,,
21.4807491,41.9924494,department_store,Бранко Гапо,,,,,,,,,,,,,,,,,,,,
21.4808389,41.9936664,department_store,Боми 10,,,,,,,,,,,,,,,,,,,,
21.4816036,41.9930299,department_store,24 Вести,,,,,,,,,,,,,,,,,,,,
21.482026,41.993612,department_store,Интерфуд,,,,,,,,,,,,,,,,,,,,
21.4826856,41.992571,department_store,МКД,,,,,,,,,,,,,,,,,,,,
21.4838961,41.9916124,department_store,Боми 10 Сервис,,,,,,,,,,,,,,,,,,,,
21.483821,41.9973587,supermarket,Електрометал,Перо Наков,Elektrometal,1000,Mo-Sa 08:00-21:00,http://www.elektroelement.com.mk,,,,,,,,,,,,,wlan,,
21.4559686,41.9879681,supermarket,Ramstore,,,,,,,,,,,,,,,,,,,,
21.4548174,41.9897519,supermarket,Тинекс,,,,,,,,,,,,,,,,,,,,
21.4623331,42.0026311,supermarket,КАМ Маркет,,,,,,,,,,,,,,,,,,,,
21.4649053,42.0018777,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4610918,42.0110894,supermarket,Zito zelezara,,,,,,,,Zito zelezara,,,,,,,,,,,,
21.3762625,42.0022775,supermarket,Tinex,,,,,,,,,Tinex,,,,,,,,,,,
21.4649937,41.9839638,supermarket,Пазарче,,,,,,,,,,,,,,,,,,,,
21.4674517,41.9854287,supermarket,Кам Маркет,Јане Сандански,Kam Market,1000,,,79А,,Кам Маркет,,,,,,,,,,,,
21.4675141,41.9866616,supermarket,Жито Маркет,,Zhito Market,,,,,,Жито Маркет,Тедико,,,,,,,,,,,
21.4691912,41.9898103,supermarket,M Market,Булевар Асном,,1000,,,,,,,,,,,,,,,,,
21.4718709,41.980756,supermarket,ЗУР Маркет,,,1000,Mo-Su 10:00-22:00,,,,ЗУР маркет,,,,,,,,,,,,
21.4751092,41.9799627,department_store,Базаро,,Bazaro,,,,,,Базаро,,,,,,,,,,,,
21.4752182,41.9798044,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4752382,41.9801204,supermarket,Рептил Маркет,Булевар Видое Смилевски Бато,Reptil Market,1000,,,бб,Skopje,,,,,,,,,,,,,
21.4764231,41.9794894,supermarket,Рамстор,,,,,,,,,,,,,,,,,,,,
21.4688286,41.9845218,supermarket,Веро,,,,,,,,,,,,,,,,,,,,
21.4781599,41.9865793,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4838698,41.9844445,supermarket,Рамстор,,,,,,,,,,,,,,,,,,,,
21.4394478,41.9993948,supermarket,,,,,,,,,,,,,,,,,,,,,
21.5033827,42.0046326,supermarket,Жито Маркет,,,,,,,,,,,,,,,,,,,,
21.4030546,42.0002255,supermarket,ВИНТ дооел,Варшавска,Vint dooel,1000,Mo-Fr 08:00-19:00,http://vint.com.mk,4,Cкoпje,,,+389 2 2440 162,,,,,,,,,yes,yes
21.3989021,42.0034268,supermarket,КОСМО Тинекс,,,,,,,,,,,,,,,,,,,,
21.3994436,42.0037317,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4001181,42.0068382,supermarket,Granap 1,,,,,,,,Granap 1,,,,,,,,,,,,
21.4383256,41.9813069,supermarket,Рептил,,,,,,,,,,,,,,,,,,,,
21.4403011,41.9823773,supermarket,Веро,,Vero,,,,,,,,,,,,,,,,,,
21.4439477,41.9817349,supermarket,KAM,,,,,,,,,,,,,,,,,,,,
21.4414652,41.9930392,supermarket,Веро 9,Koco Racin,Vero 9,1000,09:00-22:00,https://vero.com.mk/Marketi/Vero9,1,Cкoпje,,Веро,+389 2 3088400,yes,,,,MK,,,,,
21.441556,41.993327,supermarket,DM,,,,,,,,,,,,,,,,,,,,
21.4410582,42.0200283,department_store,,Ресенска,,,,,3,,,,,,,,,,,,,,
21.4416628,42.0248127,supermarket,Кам Маркет,,,,,,,,,,,,,,,,,,,,
21.4350123,42.0197651,supermarket,Prince,,,,,,,,,,,,,,,,,,,,
21.4371996,42.0236333,supermarket,Кипер Маркет,Боро Менков,,,,,10,,,,,,,,,,,,,,
21.4371972,42.0239903,supermarket,Стоко Мак,Боро Менков,,,,,10,,,,,,,,,,,,,,
21.4323628,41.9810056,supermarket,Кам Маркет,,,,,,,,,КАМ,,,,,,,,,,,yes
21.4306785,41.9867649,supermarket,Market Polo,,,,,,,,,,,,,,,,,,,,
21.4323528,41.9896032,supermarket,TINEX,,,,,,,,,,,,,0,,,,,,,
21.4348211,41.9823867,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4364415,41.988735,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4371416,41.9914679,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4370214,41.9925332,supermarket,Tinex,,,,,,,,,,,,,,,,,,,,
21.4282631,41.9888431,supermarket,Кам Маркет,,,,,,,,,,,,,,,,,,,,
21.4266878,41.9919017,supermarket,Рамстор,,Ramstore Supermarket,,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,,
21.428608,41.9935136,supermarket,Деликатесен Тинекс,,Delicatessen Tinex,,Mo-Su 08:00-22:00,https://www.facebook.com/DelicatessenTinex/,,,,,,,,,,,,,,,
"21.4276669,41.9964763,supermarket,Тинекс центар 2,,,,""Mo-Sa 08:00-23:00"
21.4150189,41.993152,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4159259,41.993198,supermarket,Gramofon Vinyl Macedonia Makedonija,Васил Ѓоргов,,1000,Mo-Sa 12:00-20:00,,BB,Cкoпje,,ZEC Electronics,,,,,,,,,,yes,
