X,Y,TypeOfAmenity,Name,Address,Phone,WebPage,OpeningHours
21.435224681408,41.9991631452679,university,South East European University,,,https://www.seeu.edu.mk/,
21.4252223801821,41.9884797981749,university,Фармацевтски Факултет,,,,
21.3903098161282,41.9990547094451,university,Студентски Дом Гоце Делчев,,,,
21.4098879062578,41.9930084813416,university,Православен Богословски факултет - Свети Климент Охридски,Загребска,,,
21.4740331226688,41.9929923348948,university,ФОН Универзитет,,,,
21.4395071507797,41.9979845480316,library,Национална и универзитетска библиотека,Булевар Гоце Делчев,,,
21.3907262522225,42.0030305810339,library,Архив на град Скопје,Московска,,,
21.4181017,41.9999512,university,Архитектонски Факултет,Булевар Партизански Одреди,+389 2 3164 974,http://www.arh.ukim.edu.mk,
21.419080100541,42.0001354000152,university,Градежен факултет,Булевар Партизански Одреди,+389 2 3116 066,http://www.gf.ukim.edu.mk/,
21.4187372640516,42.0001119090379,university,,,,,
21.4202034811164,41.9997634443832,library,,Булевар Партизански Одреди,+389 2 3162 544,http://www.gbsk.mk,
"21.4202836593562,41.9997309968778,library,Библиотека „Браќа Миладиновци“,,,,
21.36147285,42.0064775,library,Браќа Миладиновци,Виа Игнација,,,
21.3362160493468,42.0020683170024,university,Универзитет „Њујорк“,,,,
21.4530232964683,42.0313446102205,university,Институт за лозарство и винарство,,,,
21.4888973122158,42.0045692170822,university,Поранешен ФОН,,,,
21.459081655077,42.0038145662341,university,,,,,
21.4130510980723,42.0087695579181,university,Институт за Сточарство,Булевар Илинден,,,
21.4546224056622,41.9812871012216,university,Универзитет Американ Колеџ Скопје,Булевар 3та Македонска Бригада,+389 2 2463156,www.uacs.edu.mk,
21.4375763302795,42.00166725,university,Сули Ан - Факултет за ликовна уметност,,,,
21.4520894888456,42.0016679951038,university,Природно Математички Факултет,,,,
21.4555390609293,42.0013775983017,university,Студентски Дом Стив Наумов,,,,
21.4585435817596,42.0018534412132,university,,,,,
21.4583332284742,42.0022578826718,university,Факултет за земјоделски науки и храна,Булевар Александар Македонски,,,
21.4579652538654,42.0025303716043,university,Факултет за дизајн и технологии на мебел и ентериер,16 Македонска Бригада,,http://www.fdtme.ukim.edu.mk,
21.4587078292891,42.0029541509279,library,Факултетска библиотека и компјутерница,,,,
21.4592290696524,42.002063542918,university,Шумарски факултет,Булевар Александар Македонски,,,
21.4591177899709,42.0024655472722,university,Лабораторија за тестирање мебел - ФДТМЕ,16 Македонска Бригада,+389(2)6154666,,
21.40663395,42.0056465,university,Машински Факултет,,,,
21.4004515688215,42.0036233500923,library,Другарче,,,,
21.4055326606728,42.000095800319,university,Педагошка Академија,,,,
21.4060363331904,42.0048024999594,university,Факултет за драмски уметности,Руѓер Бошковиќ,,,
21.4085262339205,42.0046685542201,university,,,,,
21.4259156915577,41.9792042633794,university,Институт за Сеизмологија,,,,
21.4434718981444,42.000096177911,university,Универзитет „Св. Кирил и Методиј“,Булевар Гоце Делчев,+389 2 3293293,http://www.ukim.edu.mk,
21.437442786544,41.9887435999967,university,Економски институт - Скопје,,,http://www.ek-inst.ukim.edu.mk/,
21.4444199,41.9768128,cafe,63,,,,
"21.3862677,42.004606,cafe,Ch2pter,Љубљанска,,,""09:00-23:45"
21.3910392,42.0048738,cafe,Juicy and Co,,,,
"21.4108497,42.0055031,cafe,Joy Café & Bakery,Никола Тесла,,,
21.3722969,42.0071574,cafe,Badu,,,,
21.4758817,41.9894222,cafe,Кафе Мамбо,,,,
21.4768613,41.9897212,cafe,Кафе Писта,,,,
21.4534598,41.9885844,cafe,Палма,,,,
21.4504664,41.9915282,cafe,Red Caffe,,,,
21.4378942,42.0131776,cafe,Te Flladi,Џон Кенеди,+38978324244,,Mo-Su 06:00-02:00
21.4324491,41.9950653,cafe,Up Cafe,,,,
"21.4330712,41.9958677,cafe,Telekom Trend Lounge Bar,Кеј 13 Ноември,,,""Mo-Su 00:00-00:45
21.4368849,41.999241,cafe,Old Town,,,,
21.4358699,42.0000003,cafe,Nargile Cafe,,,,
21.4366103,41.9994358,cafe,Clique Bar,,,,24/7
"21.4361778,42.0002555,cafe,k8,,,,
"21.4370632,42.0017629,cafe,Cafe Old Bazaar,,,MK,08:00-23:00
21.4375923,42.0011325,cafe,Shisha,,,,
"21.4341981,42.0128215,cafe,Kandi,,,,Mo-Su 07:15-00:00
21.4082395,42.0051454,cafe,Cafeteria,,,,
21.404147,42.0137478,cafe,Coffeeshop Company lounge,,,,
21.4264143,41.9922468,cafe,DejaVu,,,,
21.4266738,41.9922273,cafe,Istanbul,,,,
21.4293734,41.9923772,cafe,Corsso,Даме Груев,,,
21.429836,41.992653,cafe,Плеј Кафе,Македонија,,,
21.4298728,41.9927362,cafe,Caffe Bar Dolce Vita,Македонија,,,
"21.4301082,41.9933851,cafe,Ливинг Рум,Македонија,,,""Mo-Th 08:00-24:00"
21.4302256,41.9929701,cafe,Caffe Novo,Македонија,,,
21.430365,41.9938562,cafe,Gnezdo,Македонија,,,
21.4306195,41.9944452,cafe,Bistro Skopje,Македонија,,,
21.4308588,41.9949424,cafe,DRAMA coffee house,Македонија,,,08:00-01:00
21.4271773,41.9954521,cafe,Крин,,,,
21.4308204,41.9955477,cafe,Боката,Никола Вапцаров,,,
21.4310013,41.9952414,cafe,Caffe Skopje,Македонија,,,08:00-12:00
21.4260361,41.9907255,cafe,Coffee O'Clock,,,,
21.4230113,41.9948604,cafe,AMG,,,,
21.4232268,41.9948867,cafe,Benneton,,,,
21.4230134,41.9958526,cafe,New Age,,,,
21.4253358,41.9955693,cafe,Стрип,Димитрија чуповски,,,
21.4253762,41.9986406,cafe,Винил,Булевар Партизански Одреди,,https://www.facebook.com/vinylmk/,
21.4192046,41.9927714,cafe,Изи,,,,
21.3981384,42.0033204,cafe,Prikazna,,,,
21.398346,42.0034224,cafe,Fluid,,,,
21.3991821,42.0034483,cafe,Giovani,,,,
21.3994796,42.0030494,cafe,Sugarland,,,,
21.3999451,42.0031059,cafe,Мартини,,,,
21.3970638,42.0038026,cafe,Led Zeppelin,,,,
21.3990452,42.0151641,cafe,Tonnis Bakeri,,,,
21.4091295,41.997291,cafe,Ли,,,,
21.4127725,41.999411,cafe,Концепт37,,,,
21.415006,42.0038265,cafe,The Gallery,,,,
21.4146731,42.0042809,cafe,Cafe Bela,,,,09:00 - 00:00
21.4151255,42.0039722,cafe,MonAmi,,,,
21.415173,42.0040547,cafe,Жапон Кафе Бар,,,,07:30 - 23:30
21.4159604,42.0047028,cafe,Бугати,,,,
"21.3909265,42.0041936,cafe,Trend Food Bar,,,,""08:00-00:00"
21.393778,42.004566,cafe,Krem,,,,
21.4162239,41.9934306,cafe,9,,,,
21.4171739,41.9937283,cafe,Авантура,,,,
21.4168806,41.9984995,cafe,Belier,Владимир Полежановски,,,
21.416703,42.0001541,cafe,Броз Кафе,,,,
21.417262,42.0009888,cafe,Кафе Змија,,,,
21.4175044,42.0007963,cafe,Кафе Филипос,Благој Давков,,,
21.4216953,42.0013652,cafe,Laika,,,,
21.423008,42.0012294,cafe,fourplay,Орце Николов,,,
21.4218407,42.0023198,cafe,Кахава,,,,
21.4181784,42.0087916,cafe,Централ Парк,,,,
21.3717776,42.003998,bakery,Krofnite od Hrom,,,,
21.3732237,42.0043208,bakery,Kam market,Војвода Васил Чакаларов,,,
21.3515425,42.0021431,bakery,Алекса Демниевски 25,,,,
21.3818221,42.0058308,convenience,Ралекс Маркет,,,https://www.facebook.com/raleksmarketi/,
21.3836919,42.0074692,bakery,Special,,,,
21.4148494,42.0062031,bakery,Slast,,,,
21.3750902,42.0060976,bakery,Лепа и Русе,,,,
21.3719748,42.0071667,convenience,DIEM-GP,,,,
21.371862,42.0071939,convenience,Алберто,,,,
21.4524338,41.987517,convenience,Бомбоњера Кики,,,,
21.4546638,41.988117,bakery,ваташа,,,,
21.4328019,41.9947174,bakery,Bakal bakery Cafe,,,,Mo-Sa 06:00-22:00
21.4338499,41.9944492,confectionery,Evropa - Centar 3,11 Октомври,,http://www.evropa.com.mk/prodavnici.php#,09:00-21:00
"21.432686,41.9953181,bakery,Breadway Bakery,,,,""Mo-Fr 06:00-15:00"
21.4329109,41.995252,bakery,A&M Bakery,,,,
21.4357066,41.9994752,confectionery,Rigara,,,,
21.4373116,42.0016383,bakery,Турска баклава „Ангела Меркел“,,,,
21.4386895,42.0021614,confectionery,Evropa - Cair,Битпазарска,,http://www.evropa.com.mk/prodavnici.php#,08:00 - 19:30
21.4308935,41.986975,bakery,Вегера,,,,
21.4314029,41.9870802,bakery,Tony's Bakery,,,,
21.4360635,41.9858897,convenience,ДА МИ,,,,
21.4367041,41.9874058,confectionery,Evropa - Centar 2,11 Октомври,,http://www.evropa.com.mk/prodavnici.php#,09:00-21:00
21.4053391,42.0027574,convenience,Mena,,,,
21.4054411,42.0027484,convenience,Stokomak,,,,
21.4074367,42.0031701,convenience,ДИЕМ-ГП,,,,
21.4079208,42.0032403,bakery,Pezogo,,,,
21.4276102,41.9947556,convenience,Гранап,,,,
21.4283201,41.9948528,coffee,Coffee & Friends - Палома Бјанка,Даме Груев,,https://www.facebook.com/coffeeandfriends.mk/,9-20
21.4285322,41.9948662,confectionery,Evropa - Centar 1,Димитрие Чуповски,,http://www.evropa.com.mk/prodavnici.php#,09:00-21:00
21.4292661,41.9924211,bakery,Pekara Bageti,Даме Груев,,,
21.4309247,41.9936634,beverages,Gnezdo,,,,
21.4307088,41.9946969,bakery,Специјал (Рекорд),,,,
21.4276677,41.996427,bakery,Коки,,,,
21.4224587,41.9917448,confectionery,Evropa - Centar 4,Булевар Мајка Тереза,,http://www.evropa.com.mk/prodavnici.php#,08:00-20:00
21.4245297,41.9947907,bakery,Pastel,,,,
21.4246696,41.9971292,alcohol,Alkoteka,,,,
21.426528,41.9993974,convenience,Агровита МК,,,,
21.4268596,42.0003611,bakery,Жито Леб,,,,
21.4190732,41.9895094,convenience,Mini Market Non-Stop,,,,
21.4197865,41.9898813,bakery,Жито,,,,
21.4205283,41.9904388,bakery,Sveti Nikole,,,,
21.4010765,42.0020133,bakery,Cake & Bake,,,,
21.4006019,42.0029128,greengrocer,Фрути Фреш,,,,
21.3990578,42.0038529,confectionery,Канела,,,,
21.4021041,42.0066913,bakery,Kozle,,,,
21.4638361,41.9991135,confectionery,Evropa - Gazi Baba,808,,http://www.evropa.com.mk/prodavnici.php#,08:00-17:00
21.4607538,42.0034245,bakery,Млечен Ресторан Исидора-Даниел,,,,
21.4615578,42.0096126,convenience,Ива,,,,
21.388728,41.9945528,convenience,Mak Reform Market,,,,
21.3945748,41.9949944,convenience,Stokomak,,,,
21.3946356,41.9993115,convenience,TED,Виенска,,,
21.3900483,42.0009355,bakery,Специјал - Тафталиџе,Московска,+389 2 3089868,http://www.specijal.com.mk/,Mo-Su 08:00-24:00
